aaabcs abacas abacas
aabequ abaque abaque;diagramme graphique donnant la solution approchée d'un problème numérique
aabeis abasie abasie*;impossibilité de marcher sans trouble musculaire
aabeet abatee abatée*;(ou abattée) mouvement d'un navire dont l'axe s'éloigne du lit du vent
aabist abatis abatis;(ou abattis) amas de bois abattu
aabttu abattu abattu
aabbey abbaye abbaye
abcdee abcede abcédé;s'abcéder : devenir le siège d'un abcès
abeeit abetie abêtie
abeirt abetir abêtir
abeist abetis abêtis
abeeim abimee abimée~(12)
abeeim abimee abîmée
abeimr abimer abimer~(12)
abeimr abimer abîmer
abeims abimes abimes~(12)
abeims abimes abîmes
abeims abimes abimés~(12)
abeims abimes abîmés
abcejt abject abject
abejru abjure abjuré;abjurer(vt) : renoncer solennellement
aabelt ablate ablaté*;ablater(vt) : produire une ablation
abeilr ablier ablier*;(ou ableret) carrelet
abeilo abolie abolie
abilor abolir abolir
abilos abolis abolis
abdeno abonde abonde*(10);faire de l'abonde : faire du profit
abdeno abonde abondé
abenno abonne abonné
abinno abonni abonni
abdeor aborde abordé
abdors abords abords
abelou aboule aboulé
abeotu aboute abouté
abiotu abouti abouti
abostu abouts abouts
abeeoy aboyee aboyée*#
abeory aboyer aboyer
abeosy aboyes aboyés*#
aabers abrase abrasé
abeegr abrege abrégé
abeeir abriee abriée(03)
abeirr abrier abrier(03)
abeirs abries abriés(03)
abeirt abrite abrité
abegor abroge abrogé
abprtu abrupt abrupt
abirtu abruti abruti
abenst absent absent
abdeis abside abside;extrémité arrondie d'une église derrière le chœur
ablosu absolu absolu
abossu absous absous;absoudre(vt) : exempter de sa peine l'auteur d'une infraction
abostu absout absout~(12)
abeesu abusee abusée
abersu abuser abuser
abessu abuses abusés
abfisu abusif abusif
abssuu abusus abusus;droit de vendre ou de détruire un bien à soi
abemsy abymes abymes
abessy abysse abysse
abemyz abzyme abzyme;anticorps doué de propriétés catalytiques
aabcit acabit acabit
aaacci acacia acacia
aacjou acajou acajou
aacrsu acarus acarus*;parasite de l'ordre des acariens
aacelu acaule acaule;sans tige apparente
accdee accede accédé
accent accent accent
acceis accise accise;au Canada impôt indirect frappant certains produits de consommation
accelo accole accolé
accnos accons accons
accdor accord accord
acceor accore accore;pièce de bois qui étaie un navire pendant sa construction
accort accort accort;gracieux
acceot accote accoté
accost accots accots*
acccor accroc accroc
accors accros accros
acceru accrue accrue
accrsu accrus accrus
accelu accule acculé;acculer(vt) : pousser dans un lieu sans issue
accesu accuse accusé
acdeei acedie acédie(12);état spirituel de mélancolie dû à l'indifférence ou au découragement ou au dégoût
abceer acerbe acerbe
aceeer aceree acérée
aceerr acerer acérer
aceers aceres acérés
aacelt acetal acétal;corps obtenu par addition des alcools sur les aldéhydes
aacehl achale achalé(03);achaler(vt) : contrarier ou importuner
aachst achats achats
abcehs achebs achebs
aceehn acheen achéen;des Achéens
aceehn achene achène*;(ou achaine ou akène) fruit sec à une seule graine comme la noisette
aceeht achete achète(00);hirudinée (anticoagulant extrait des glandes buccales de sangsues)
aceeht achete acheté
aceehv acheve achevé
acdeis acides acides
aceeir aciere aciéré
aceirs aciers aciers
acinsu acinus acinus;masse arrondie de quelques cellules sécrétrices
acinot aconit aconit;plante vénéneuse
aceors acores acores
aceost acotes à-côtés
acopsu acoups à-coups
aceqtu acquet acquêt;bien acquis par les époux pendant le mariage
aciqsu acquis acquis
aciqtu acquit acquit;reconnaissance écrite d'un paiement
aceert acrete âcreté
aacntt actant actant
aceest actees actées
acertu acteur acteur
acfist actifs actifs
aceint actine actine;protéine
acinot action action
aceitv active active
aceitv active activé
aceltu actuel actuel
aceitu acuite acuité
acelsy acyles acyles
aadegs adages adages
aadgio adagio adagio
aadept adapte adapté
acddit addict addict*(07)
additu adduit adduit(00);résultat d'une réaction d'addition
adenst adents adents
adeept adepte adepte
adeehr adhere adhéré
adeiux adieux adieux
aadejr adjare adjare°(02)
aadjrs adjars adjars°(02)
adegju adjuge adjugé
adejru adjure adjuré;adjurer(vt) : supplier
adeimr admire admiré
adeims admise admise
aadens adnase ADNase*#(11);caché à désoxyribonucléase
abdeos adobes adobes
adinos adonis adonis
adenno adonne adonné
adeopt adopte adopté
adeeor adoree adorée
adeorr adorer adorer
adeors adores adorés
adenor adorne adorné*(09);adorner(vt) : orner avec recherche
adeoss adosse adossé
abdeou adoube adoubé
acdiou adouci adouci
aderst adrets adrets
adiort adroit adroit
adeelu adulee adulée
adelru aduler aduler
adelsu adules adulés
adeltu adulte adulte
adenuv advenu advenu
aaeegr aerage aérage;ventilation forcée dans les galeries d'une mine
aaenrt aerant aérant
aeeers aerees aérées
aeeinr aerien aérien
aeimru aerium aérium*;établissement de repos de vie au bon air pour les convalescents
aeeitt aetite aétite*;variété d'oxyde de fer hydraté
aadffi affadi affadi
aaeffl affale affalé
aaeffm affame affamé
acefft affect affect
aeefft affete affété*;maniéré
adeffi affide affidé;personne à qui on se fie pour commettre une action répréhensible
aeffil affile affilé;affiler(vt) : donner du fil à un outil tranchant affûté
aeffin affine affine
aeffin affine affiné
affins affins affins;les affins : les parents par alliance
