aaabbeilss abaissable abaissable
aaabeinsst abaissante abaissante
aaabinssst abaissants abaissants
aabeirsssu abaisseurs abaisseurs
aabeeisssu abaisseuse abaisseuse
aabdeennno abandonnee abandonnée
aabdennnor abandonner abandonner
aabdennnos abandonnes abandonnés
aabdeiorsu abasourdie abasourdie
aabdiorrsu abasourdir abasourdir
aabdiorssu abasourdis abasourdis
aaabdeirst abatardies abâtardies
aaabbelstt abattables abattables
aabeemnttt abattement abattement
aabeessttu abatteuses abatteuses*(19)
aabbdeisss abbassides abbassides
aaabbeilst abbatiales abbatiales
aabcdiinot abdication abdication
aabdeilmno abdominale abdominale
aabdimnoux abdominaux abdominaux
abcderstuu abducteurs abducteurs
abcdinostu abductions abductions
abccdeirtu abductrice abductrice
aabcdeeeir abecedaire abécédaire
abeeeilnns abeliennes abéliennes
aabeeinqsu abenaquise abénaquise
aabceenrrs aberrances aberrances
aabeenrrst aberrantes aberrantes
aabeinorrt aberration aberration
aabeinsstt abetissant abêtissant
aabceeeist abietacees abiétacées
abeeeiinst abietinees abiétinées
aabeinsttt abintestat ab intestat
abeeeginos abiogenese abiogenèse
abeiioqstu abiotiques abiotiques
abceijnost abjections abjections
aabijnortu abjuration abjuration
aabeilnsst ablastines ablastines
aabeilnoss ablonaises ablonaises
aabeginnot abnegation abnégation
abeeimnost aboiements aboiements
aabilnosst abolissant abolissant
abiilnoost abolitions abolitions
aabbeilmno abominable abominable
aabcdennos abondances abondances
aabdennost abondantes abondantes
abdeemnnot abondement abondement
abeemnnnot abonnement abonnement
aabbdelors abordables abordables
abeeginors aborigenes aborigènes
abeiloqsuu abouliques abouliques
abeemnottu aboutement aboutement
aabceinort abreaction abréaction;libération émotionnelle soudaine liée à un événement traumatique
abeeegmnrt abregement abrégement
abeeegmnrt abregement abrègement
abeiorrsuv abreuvoirs abreuvoirs
aabefiirtv abreviatif abréviatif;servant à abréger ou à noter par abréviation
aabcinortt abricotant abricotant(12);abricoter(vt) : napper un gâteau d'une couche de confiture d'abricots
abceeiorst abricotees abricotées
abceiiorrt abricotier abricotier
abceiinort abricotine abricotine;sorte de marbre
aabfgiorst abrogatifs abrogatifs
aabginoort abrogation abrogation
aabegiortv abrogative abrogative;(ou abrogatoire) qui annule une loi ou un règlement
aabbeeglor abrogeable abrogeable;susceptible d'abrogation ou annulable
aabdeiilss absidiales absidiales
abdeiiloss absidioles absidioles
abeilosstu absoluites absoluités
abelmnostu absolument absolument
abilnoostu absolution absolution
aabbbelors absorbable absorbable
aabbcenors absorbance absorbance;mesure de réduction d'intensité de rayonnement optique après passage dans un milieu
aabbenorst absorbante absorbante
aabbnorsst absorbants absorbants
abbeorrssu absorbeurs absorbeurs
abinooprst absorption absorption
abeinnostt abstention abstention
abceeinnst abstinence abstinence
abeeinnstt abstinente abstinente
