aabcelu abacule abacule*;petit cube constituant l'élément d'une mosaïque
aabeiss abaisse abaisse;morceau de pâte aminci au rouleau pour foncer un moule
aabeiss abaisse abaissé
aabejou abajoue abajoue;poche de la joue de certains mammifères servant de réserve à aliments
aabelno abalone abalone*;ormeau
aabdnno abandon abandon
aabeqsu abaques abaques
aabeiss abasies abasies*
aaabegt abatage abatage*
aabeest abatees abatées*
aabnost abatson abat-son;ensemble des lames inclinées posées dans les baies des cloches
aabeett abattee abattée;(ou abatée)
aabistt abattis abattis;coupe faite dans un bois
aabertt abattre abattre
aabettu abattue abattue
aabsttu abattus abattus
aabbesy abbayes abbayes
abbeess abbesse abbesse
abcdeee abcedee abcédée
abcdeer abceder abcéder
abcdees abcedes abcédés
abdeiqu abdique abdiqué
abdemno abdomen abdomen
abeeill abeille abeille
abeeiln abelien abélien;groupe abélien : dont l'opération est commutative
abeeist abeties abêties
abehorr abhorre abhorré
aabimnt abimant abimant~(12)
aabimnt abimant abîmant
abeeims abimees abimées~(12)
abeeims abimees abîmées
aabiort abirato ab irato*(00);sous l'empire de la colère
abceejt abjecte abjecte
abcejst abjects abjects
abeejru abjuree abjurée
abejrru abjurer abjurer
abejrsu abjures abjurés
aabehkz abkhaze abkhaze°(02);d'Abkhazie en Géorgie
aabeelt ablatee ablatée*
aabelrt ablater ablater*
aabelst ablates ablatés*
aabfilt ablatif ablatif;cas des langues à déclinaison qui exprime l'éloignement
aabeglt ablegat ablégat*;envoyé du pape
abeelrt ableret ableret*;(ou ablier) carrelet
abeeltt ablette ablette
abeilrs abliers abliers*
abeilos abolies abolies
abeimno abomine abominé
abdeeno abondee abondée*(07)
abdenor abonder abonder
abdenos abondes abondes*(10)
abdenos abondes abondés*(07)
abeenno abonnee abonnée
abennor abonner abonner
abennos abonnes abonnés
abeinno abonnie abonnie
abinnor abonnir abonnir
abinnos abonnis abonnis
abdeeor abordee abordée
abdeorr aborder aborder
abdeors abordes abordés
abfiort abortif abortif
abcehou abouche abouché;aboucher(vt) : appliquer l'un contre l'autre des conduits par leurs ouvertures
abeelou aboulee aboulée
abeloru abouler abouler
abelosu aboules aboulés
abeilou aboulie aboulie;trouble psychique caractérisé par une difficulté à agir ou à prendre une décision
abeeotu aboutee aboutée
abeortu abouter abouter
abeostu aboutes aboutés
abeiotu aboutie aboutie
abiortu aboutir aboutir
abiostu aboutis aboutis
aabnoty aboyant aboyant
abeeosy aboyees aboyées*#
abeoruy aboyeur aboyeur
aabeers abrasee abrasée
aaberrs abraser abraser
aaberss abrases abrasés
aabfirs abrasif abrasif
abeeegr abregee abrégée
abeegrr abreger abréger
abeegrs abreges abrégés
abeeruv abreuve abreuvé
aabinrt abriant abriant(03);abrier(vt) : couvrir pour protéger
abbirsu abribus Abribus
abciort abricot abricot
abeeirs abriees abriées(03)
abeeirt abritee abritée
abeirrt abriter abriter
abeirst abrites abrités
abeegor abrogee abrogée
abegorr abroger abroger
abegors abroges abrogés
abeprtu abrupte abrupte
abprstu abrupts abrupts
abeirtu abrutie abrutie
abirrtu abrutir abrutir
abirstu abrutis abrutis
abcnoss abscons abscons;difficile à comprendre
abceens absence absence
abeenst absente absente
abeenst absente absenté
abensst absents absents
aabdils absidal absidal;(ou absidial) lié à l'abside (extrémité arrondie d'une église derrière le chœur) d'une église
abdeiss absides absides
abelosu absolue absolue
ablossu absolus absolus
abbeors absorbe absorbé
abeostu absoute absoute;absoudre(vt) : exempter de sa peine l'auteur d'une infraction
abosstu absouts absouts~(12)
abeemst absteme abstème;qui s'abstient de boissons alcooliques
abenstu abstenu abstenu
abrsstu abstrus abstrus;difficile à comprendre
abdersu absurde absurde
aabnstu abusant abusant
abeessu abusees abusées
abersuu abuseur abuseur*(07);trompeur
abfissu abusifs abusifs
abeisuv abusive abusive
aablssy abyssal abyssal
abesssy abysses abysses
abinssy abyssin abyssin
abemsyz abzymes abzymes
aabcist acabits acabits
aaaccis acacias acacias
aacdein acadien acadien
aacjosu acajous acajous
aacehnt acanthe acanthe;plante ornementale à feuilles longues et vertes
aaceinr acarien acarien
aacelsu acaules acaules
aabccel accable accablé
accdeer acceder accéder;v.i
accenst accents accents
acceept accepte accepté
acceiss accises accises
aaccelm acclame acclamé
acceelo accolee accolée
accelor accoler accoler
accelos accoles accolés
accdeor accorde accordé
accdors accords accords
acceors accores accores
acceort accorte accorte
accorst accorts accorts
acceost accoste accosté
acceeot accotee accotée
acceort accoter accoter
acceost accotes accotés
accdeou accoude accoudé
accoruu accouru accouru
acceert accrete accrété
acccors accrocs accrocs
accersu accrues accrues
acceilu accueil accueil
acceelu acculee acculée
accelru acculer acculer
accelsu accules acculés
acceesu accusee accusée
accersu accuser accuser
accessu accuses accusés
acdeeis acedies acédies(12)
aacenrt acerant acérant
abceers acerbes acerbes
aceeers acerees acérées
aacelor acerola acerola*(13);arbre dont le fruit est appelé cerise des Barbades ou cerise des Antilles
aacelor acerola acérola*(13)
aceelor acerole acérole(17);(ou cerise-pays) arbre dont le fruit est appelé cerise de la Barbade ou cerise des Antilles car ressemblant beaucoup à la cerise
aacelst acetals acétals
aaceett acetate acétate;sel de l'acide acétique
aceenot acetone acétone;solvant corps d'origine des cétones
aceelty acetyle acétyle;radical univalent dérivant de l'acide acétique CH3CO-
aacehin achaine achaine;(ou akène ou achène) fruit sec à une seule graine comme la noisette
aaceehl achalee achalée(03)
aacehlr achaler achaler(03)
aacehls achales achalés(03)
aacdhrs achards achards;condiment indien
aacehnr acharne acharné
aceehns acheens achéens
aceehns achenes achènes*
aceeeht achetee achetée
aceehrt acheter acheter
aceehst achetes achètes(00)
aceehst achetes achetés
aceeehv achevee achevée
aceehrv achever achever
aceehsv acheves achevés
aacghin achigan achigan;poisson black-bass
acehilo acholie acholie;arrêt de la sécrétion de la bile par le foie
acehopp achoppe achoppé;achopper(vt) : buter du pied contre quelqu'un
aachoru achoura Achoura;fête religieuse musulmane
acehmor achrome achrome;en noir et blanc
acehily achylie achylie;anomalie du suc gastrique
acdeiit acidite acidité
acdeios acidose acidose;concentration excessive d'acide dans le plasma sanguin
acdeilu acidule acidulé
aceeeir acieree aciérée
aceeirr acierer aciérer
aceeirs acieres aciérés
aceeiir acierie aciérie
aceinux acineux acineux*#;caché à acinus (masse arrondie de quelques cellules sécrétrices)
aceloty acolyte acolyte
acemopt acompte acompte
aacegno aconage aconage;(ou acconage) manutention de marchandises à bord des navires
aceinor aconier aconier;(ou acconier) entreprenant en acconage (manutention de marchandises à bord des navires)
acinost aconits aconits
