USELINEGAD (9) | désaligné(vt),enduisage,glandeuse,guide-ânes,languides
OIMEBOMUCA (7) | cambium (commué)
OLIMITONOR (8) | mirliton (miroton(+mironton), monitor, montoir)
ULIVERASUF (9) | uvulaires (flaveurs, révulsif(ive))
ENNOIOSPAG (8) | opsonine, saponine
MESILESECE (8) | ciselées (vt), éclissée (vt)
TINUSESINO (10)| unionistes (suintines, tunisiens, tunisoise, sinuosité)
EPALIVERES (9) | préavisée (vt), vespérale (al,aux)
ATESESEPIN (9) | apnéistes, aptésiens, aseptisée (vt), espantées (vt)
SETESIBIPE (8) | épéistes, ipséités, stibiées (adj)
AQOLIMEVIS (9) | malvoisie (nm) (olivaies)
VEFAPAMEHO (6) | vampée (vt)
OSOGADENEL (9) | gondolées(vt) (glandées(vt), goélands, losangée (adj))
DURESOROQA (7) | ardeurs,ordures,dorures,doreurs(euse),droséra(drosère),rôdeurs(euse)
CACELIRUNI (9) | culinaire, calciurie (calciner,canicule, cruciale, éclairci)
UTASORACIM (8) | maïorats, muratais, samouraï, autocars
SEDENIROME (10)| modernisée (endormies)
EIGITEPACO (8) | picotage
CAADEVSLLO (8) | alcalose, calvados (inv), sacoléva (ou sacolève)
LNOLOTEGEL (8) | longeole (gonelle)
ULIRORIBAR (7) | brûloir (abolir, barrir (vi), labour, loubar(d,de)
PEREMOJELE (8) | emperlée(vt) (éplorée(adj), léprome, mélopée (nf))
TIPIRASESI (9) | pâtissier(e),tapissier(e) (épaissir,patisser(vt),piastres,satirisé(vt),spirites,tapisser)
OFUGARENAS (9) | naufragés (vt,+eur) (augerons, organeau, ouragans, soufrage)
TESOGANISO (9) | gantoises, agonistes
ESATEDONUD (9) | dédouanés (vt)
CRIREBEROS (9) | corbières (inv)
USUSALILER (9) | laïusseur(euse) (ailleurs(inv),laïusser(vi),ruisseau)
FUCITASACA (9) | accusatif (causatif)
ASOSIREXET (9) | sexe-ratio (inv), sex-ratio(s)
APUSANACEC (8) | pascuan(e) (canapés, capuces, pacanes)
COGANECERU (9) | encouragé, cogérance (cornacée(nf), écanguer(vt), écorçage, gourance)
SUCIROMEFA (8) | formicas, suiforme
SEMERIRIRE (8) | émeriser, merisier
ISAMATOSUS (8) | samoussa (assauts, samosas)
FUSIXETASI (8) | fixistes (+fixisme, fixité)
EGACOCIFOS (6) | accise(nf), fascié(adj), fiasco, occase, occise, sciage
OSATISENAB (9) | anabioses, basanites, obéissant
ICOZEJULIN (7) | inoculé
FENEVERURI (9) | enfiévrer (vt) (nervurée (vt), revernie (vt))
MULETINISE (9) | ilménites, luministe, mélinites, stimuline
NEGEXIPRTN (8) | inexpert(e,s), trépigné (vt)
ASERITYRAR (7) | araires,arriser,erratas,ratiers(ière),tarares,tarsier(nm)
SAJESAPINO (10)| japonaises (japonisés(vt),+japoniste/isme) ((jaspinés(vt),saponase))
